sample,pvalue,foldchange
AF085995,6.278653309405756e-10,1.6458038858086428
MTVR2,0.026421706394005373,1.5093047349573467
ATRX,0.0003071267048556663,1.1789876859217572
DQ589460,1.7311497462338332e-05,0.0
DQ597117,0.03458317509119184,3.1181936322287194
LOC147670,0.4767878345267632,0.8462559765319919
LOC100506866,0.00028238881677373356,1.2735211508906288
LOC441204,0.9411510780351452,0.991138788536988
TCOF1,4.652080928354057e-23,1.4158742568688798
NSRP1,0.00018975565076231716,1.1507346466561557
SPPL3,0.00013570064001749453,1.0985179451275007
OPA3,6.818612290713506e-07,1.1501909781614987
OPA1,1.0001699695389929e-06,1.1406598714566623
ITGA8,2.1970751105408967e-05,0.5819548649005003
ITGA9,0.0039015065927867853,0.7659109149906855
ITGA1,0.5177600707207822,1.0557127812592328
ITGA2,4.798013139817068e-10,1.5985853277966864
ITGA3,1.4237806952791232e-05,1.1172117319745152
ITGA4,0.0005748176415226691,1.350940144175017
ITGA5,0.006326155552335665,1.1432546947400986
ITGA6,1.2735693013257285e-09,1.2768962559448154
ITGA7,0.03870357515650977,0.7911067066909457
TRHR,0.00923481791066899,2.1800392568585396
UFSP1,1.8273696680662096e-09,1.3412020909026499
UFSP2,0.00025093187634366986,0.8882595169508837
AK057396,0.18872761668875643,0.6791123835989192
FAM212B,0.00042017369352201865,0.6597065474393735
FAM212A,0.007178397385014143,0.7396836971183766
CHST9,0.14092503802755083,0.6567342705742675
CHST8,0.08958585084788998,0.7646800909993993
CHST1,1.2337541314411356e-34,2.4032690952113294
CHST3,0.28711343184751625,0.9261300876324776
CHST2,0.6976204967326325,0.9692384869845906
CHST5,0.3557400357193624,0.8485412319368963
CHST4,2.7897567191502116e-12,4.616719868211971
CHST7,0.2925613436213091,1.0574895927548449
CHST6,0.804100995462333,1.03944121310626
ITGAX,1.1532746565326523e-18,2.2870483806234048
BCL2A1,1.898795228688952e-06,1.6052124663070801
ITGAV,8.708266898350561e-07,1.1637660996831496
ITGAL,0.027249636498470595,1.2317014417617427
ITGAM,5.197230370623575e-06,1.4300036229088162
BC044741,0.15868264516031597,1.3501817772442548
ITGAD,6.3505415800838636e-09,2.8406528771821615
ITGAE,0.0002521181110824696,1.1318460211957606
DQ595407,0.8888559594983829,1.1410344086241666
DQ595400,0.011306620186616458,0.0
AX746504,1.7244549714756177e-05,3.065119879522313
BC006435,2.004265412979823e-08,3.0821179283208697
IGF2R,1.6304545023852523e-07,1.171331881089851
SLC36A4,0.008351269238060021,1.1559705104407005
SLC36A3,0.00030094695046587843,3.269676346037507
CKS1B,3.2985574846956407e-18,1.5405432769266645
SLC36A1,0.1535301137813376,1.1376086886956072
LOC729264,0.8422259341343211,0.9444473690289342
AK094188,0.2888498633428326,1.070952061374813
DQ571524,0.7632431052389468,1.0898936818021336
C14orf118,0.0002198339542777657,1.195153821834253
ARTN,1.127633332851215e-07,1.7106500912426887
ART1,8.880194074813347e-05,2.220277107607168
ART3,0.006437116962420535,0.3647814770182293
ART5,0.000569686150595621,1.7288121998462536
ART4,0.854225009313376,0.970245004979234
DQ575060,2.9394133091311644e-23,8.901144399134965
DQ575062,0.1050184419390905,0.0
RNase_MRP,0.47474049512580696,0.46667327242311163
CRTAM,0.0010811227680680691,1.5731450720694522
CADPS2,2.074254569670221e-05,1.3022152302901358
DQ573965,0.050072161711817054,0.0
RLF,0.0003025045812671783,1.1687867748177847
DQ573962,0.46421964165881136,1.6456350848158872
CRTAP,0.11688541144985429,0.9532230774796343
BC078172,0.028502147295813945,0.9476357795151067
AK097193,0.00028442777567535556,2.366321576265685
AK097190,0.072366827157833,0.6672166553166647
ADPGK,9.974258865976782e-08,1.3511326447893843
HPYR1,0.00017268112228961493,6.3440292180264795
CPEB4,0.00010647462273756247,0.8687139933854928
CPEB1,0.00012967376426314077,0.35808647881107253
CPEB3,0.0010862230281220898,0.8248521820990314
CPEB2,0.00014144075136089725,0.8468289134042267
SRBD1,3.2364687180694603e-09,1.1868234315860646
ABAT,0.002294946558548621,0.7692379761154687
POU5F1B,1.1999046949227403e-18,4.26471516051215
LOC284865,3.929174970445005e-14,4.063967857114331
PHOX2A,0.004715775825431137,0.4004643826135297
PHOX2B,0.0013406303358739539,0.17647218300105497
NLRP14,0.16501365632537682,1.3033685635738315
UPK2,0.3625468484433616,1.2933197597045472
CFH,0.9681752299959394,1.0015240621981403
CFI,0.19679609258268227,1.0797066074357515
ANKFY1,0.0015977643134804042,1.086530356320595
CFB,1.0671765930783192e-06,1.4161286939317177
TPT1-AS1,3.361262061176336e-05,1.2592464945334707
AL832737,0.1616726554960989,0.5059524702636867
CFP,0.0001802383935507255,0.6636184797337353
REREP3,0.08158456345672789,1.3544483876723759
AAAS,2.7145858137001903e-12,1.1244007930836983
SIDT1,0.2442312359399959,1.1096568775434683
SIDT2,4.4261718333883406e-05,0.8656544102236108
DQ573033,0.0014123007946045978,0.0
PISRT1,3.1513699420404586e-06,17.492454831107622
MascRNA_menRNA,0.04424106312758427,0.4446152783533635
LOC283070,0.023873757603621447,0.8645002333048732
DQ576602,6.401668788180002e-06,0.0
SAGE1,1.3028990683550991e-11,68.85425696594424
DQ586142,,0.0
AAGAB,2.2860777077255247e-13,1.2043670144735654
C4orf19,0.0645966379000577,1.2128121428159062
SLC7A6OS,6.899571695407221e-15,1.217886297880744
C4orf17,0.4866920952470253,1.2705151402267045
CDH26,0.34785341884479515,0.8155401116091815
ECEL1,5.904417887262259e-11,3.172652307483075
AB240015,0.19174699938724157,1.7683482603567735
EFHA1,1.018463191924661e-12,1.1503933707918663
DQ570601,0.8369157658994029,1.1237036387673964
EFHA2,0.0008614534660335754,0.5727200043666876
BC034605,0.001082148812131453,3.8666121427884126
TERT,7.101190190372166e-31,6.50214727176408
AX746887,0.020901917659677124,1.2810199967854898
AX746880,4.3632638081011196e-73,35.95726033555834
ETV3L,0.05075649379567097,1.8084760645946918
GCFC1-AS1,5.083278878341394e-05,1.3983644715776036
MSL3P1,1.716113951600984e-24,1.7917833140265829
BC033554,3.6238868397812435e-10,2.6520117957542197
C15orf26,3.2728951097007094e-15,3.0592817920389352
C15orf27,0.1650866004111089,0.8259564471497092
C15orf24,0.000516009291381384,1.0411895383042167
C15orf23,4.7924321483412624e-18,1.6215458829096718
C15orf29,0.07084793257068259,1.0699805487704623
ZNF117,4.852814316524896e-09,1.5187578016793029
ZNF114,4.771719580468617e-18,4.694415306864264
SEZ6L,0.0002047702195897778,0.39612261207231647
PRKAR2A,0.2136460403095489,1.0299824103240252
PRKAR2B,1.900446945787692e-07,0.6410942062152969
S1PR5,0.7169131627989738,0.9085777554693211
TMEM200B,3.0945614027873316e-05,1.1416475689710932
ITGA2B,0.8559319348034983,1.0331011103931793
PHACTR4,0.014988899261190456,1.0990980089781328
NLGN2,0.7638862484831284,1.0246435126824849
OR2K2,0.36147120244624786,1.639658587257617
PHACTR3,9.397188721914635e-07,1.7854734725199122
NUP107,7.824889904398895e-28,1.5181005823904405
KRTAP2-3,5.573856303034949e-08,22.61262754165749
KRTAP2-2,9.021480717039963e-07,0.0
KRTAP2-1,0.0045815528407386966,0.0
KRTAP2-4,0.009261028597589817,0.0
AX747372,2.1912013283211987e-20,2.8744293600678033
MIR4708,5.666672206697061e-05,0.0
AX747377,3.1102710913051044e-05,2.127027015188193
AX747376,0.3653995428413418,0.8488041849022016
AX747379,0.20947339352615504,1.0850424626066135
MIR4705,0.02696146393681669,0.0
MIR4706,0.013508436397112486,1.8297756272712944
MIR4701,2.4781329494870573e-08,1.436774236629274
MIR4703,0.00033859726424145207,0.0
DQ585554,0.0005248642784071055,38.081992903607336
DQ585551,0.11601310860040795,0.0
SBF1P1,0.421801290963684,0.7271788844190462
VMP1,2.1152718164238505e-11,1.1844577719148413
DQ587955,0.0011491257256216836,7.317885117493473
DQ587954,0.011358646222825813,2.486245311825106
DQ587956,8.165428762169234e-07,0.0
NR1D1,4.00864835911419e-05,1.1621578089741254
NR1D2,0.02894415873303031,1.0895483765214482
OGFR,1.3270445835637176e-10,1.2214336586218613
LOC151121,3.846210585833299e-09,45.211581839213416
RP11-165H20.1,0.9569555298113553,0.9624136156877426
PTCH2,0.0005568231073903506,1.5699470930680701
PTCH1,0.23116291630946553,1.0733914359382564
TIMM44,6.630633094061007e-11,1.1225587382993345
RAD9B,0.23235795051137317,1.0708310510191723
RAD9A,3.6306840992031936e-08,1.2431793492646772
ERGIC2,1.271686164724653e-06,1.0885242173544438
ERGIC3,9.177925985374121e-07,1.112882431281714
ERGIC1,0.9090995582640022,0.9978081551580262
MIR3165,0.0009166453096380609,3.1079348255231265
MIR3167,0.07082450369795254,0.0
MIR3162,1.4809065987917121e-05,2.701946241025337
B3GAT3,4.819585921417583e-07,1.1636607013433609
B3GAT2,0.4393927179879109,1.0296109847744301
B3GAT1,0.002115963908325469,0.41686158080444946
MIR3169,0.14493435810337107,0.0
CALM2,0.18960685440068706,1.0216903964867194
CALM3,0.5929985907541304,1.009267669007309
SPG21,1.7217802952193533e-14,1.1201690017731014
SPG20,5.7509914019876395e-05,0.737433344496549
GSDMA,0.0080036883718226,1.4524989042080827
GSDMB,0.0006443938393665985,1.367341119794654
GSDMC,0.20472532098889934,0.529059655999638
GSDMD,0.0002613418362695237,1.173013902681231
UPK1A,0.10736021327192774,0.40117597994210064
UPK1B,0.008637859736710251,0.5418051868938614
DLGAP2,0.07074082515709569,0.6726737882883544
DLGAP3,0.05538025390926599,1.2112762452024064
